"id","symbol","period","interval","start_at","open_time","volume","open","high","low","close","turnover","year","month","day","hour","weekday","shifted"
4910359,"BTCUSDT",240,240,1603425600,1603425600,1049.721,0.187776813011215,0.186530260576178,0.189859325232983,12888.499999999969,1.35293291085E7,2020,10,23,12,4,12970.500000000033
4913891,"BTCUSDT",240,240,1603440000,1603440000,1397.999,0.18662395750487,0.187087758929024,0.18968237584051,12970.500000000033,1.81327460295E7,2020,10,23,16,4,12917.500000000031
4917351,"BTCUSDT",240,240,1603454400,1603454400,1010.102,0.187820592334241,0.186819870110124,0.190146867995753,12917.500000000031,1.3047992585E7,2020,10,23,20,4,12905.0
4920825,"BTCUSDT",240,240,1603468800,1603468800,1099.18,0.187047157627453,0.185958281746635,0.187876017459007,12905.0,1.41849179E7,2020,10,24,0,5,12919.499999999996
4924341,"BTCUSDT",240,240,1603483200,1603483200,1064.712,0.186864743781512,0.186066885321865,0.189726613188628,12919.499999999996,1.3755546684E7,2020,10,24,4,5,12983.999999999976
4927815,"BTCUSDT",240,240,1603497600,1603497600,1193.606,0.187076343842803,0.186819870110124,0.189726613188628,12983.999999999976,1.5497780304E7,2020,10,24,8,5,12933.499999999969
4931301,"BTCUSDT",240,240,1603512000,1603512000,1164.385,0.188017599287856,0.1869501944004,0.190581868585585,12933.499999999969,1.50595733975E7,2020,10,24,12,5,13006.000000000018
4934750,"BTCUSDT",240,240,1603526400,1603526400,977.073,0.187280647350256,0.186957434638748,0.190559749911525,13006.000000000018,1.2707811438E7,2020,10,24,16,5,13116.000000000022
4938290,"BTCUSDT",240,240,1603540800,1603540800,861.487,0.188338647656712,0.189397394962242,0.190736699303999,13116.000000000022,1.1299263492E7,2020,10,24,20,5,13129.499999999965
4941777,"BTCUSDT",240,240,1603555200,1603555200,912.86,0.189943889500989,0.18903538304481,0.192137548661083,13129.499999999965,1.198539537E7,2020,10,25,0,6,13095.499999999989
4945271,"BTCUSDT",240,240,1603569600,1603569600,1062.474,0.190140896454604,0.188745773510864,0.192373481184381,13095.499999999989,1.3913628267E7,2020,10,25,4,6,13313.000000000004
4948721,"BTCUSDT",240,240,1603584000,1603584000,1133.606,0.189644730793646,0.191830115047387,0.19260941370768,13313.000000000004,1.5091696678E7,2020,10,25,8,6,13030.000000000027
4952114,"BTCUSDT",240,240,1603598400,1603598400,1382.285,0.192818731713012,0.191598427420231,0.190146867995753,13030.000000000027,1.801117355E7,2020,10,25,12,6,12933.999999999995
4955607,"BTCUSDT",240,240,1603612800,1603612800,766.285,0.188688882240918,0.187254284411043,0.190478648106642,12933.999999999995,9911130.19,2020,10,25,16,6,12957.00000000002
4959183,"BTCUSDT",240,240,1603627200,1603627200,920.354,0.187287943904094,0.186812629871775,0.190537631237466,12957.00000000002,1.1925026778E7,2020,10,25,20,6,13017.499999999996
4962729,"BTCUSDT",240,240,1603641600,1603641600,1081.417,0.187623585380625,0.187123960120767,0.190596614368291,13017.499999999996,1.40773457975E7,2020,10,26,0,0,13012.999999999969
4966201,"BTCUSDT",240,240,1603656000,1603656000,1040.22,0.188506468394977,0.187196362504254,0.191304411938186,13012.999999999969,1.353638286E7,2020,10,26,4,0,13098.500000000007
4969716,"BTCUSDT",240,240,1603670400,1603670400,898.188,0.188440799410438,0.188354800640037,0.191112716763006,13098.500000000007,1.1764915518E7,2020,10,26,8,0,13048.500000000024
4973251,"BTCUSDT",240,240,1603684800,1603684800,934.091,0.189688510116672,0.18892677946958,0.192108057095671,13048.500000000024,1.21884864135E7,2020,10,26,12,0,13124.000000000025
4976819,"BTCUSDT",240,240,1603699200,1603699200,955.417,0.18895885473291,0.18946255710738,0.19081042821753,13124.000000000025,1.2538892708E7,2020,10,26,16,0,12987.999999999978
