"open","high","low","close","shifted"
8547.0,8573.0,8499.5,8573.0,8614.0
8661.5,8674.0,8650.5,8674.0,8851.5
8674.0,8851.5,8674.0,8851.5,8854.0
8851.5,8854.0,8851.5,8854.0,8946.0
8854.0,8946.0,8854.0,8946.0,8889.0
8866.5,8869.5,8750.0,8750.0,8678.5
8750.0,8750.0,8672.5,8678.5,8678.5
8703.0,8750.0,8703.0,8750.0,8750.0
8750.0,8923.5,8750.0,8867.5,8911.0
20001.0,20001.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0
100.0,8990.5,100.0,8990.5,8990.5
8700.0,8700.0,8700.0,8700.0,7802.0
7802.0,7802.0,7802.0,7802.0,7802.0
7559.5,7559.5,7317.0,7359.0,7743.0
7767.0,7839.0,7614.5,7826.0,7929.0
7826.0,7978.0,7808.0,7929.0,7666.0
7388.5,7460.0,5519.0,6019.0,6117.5
6019.0,6262.0,5704.5,6117.5,6003.0
5156.0,5233.0,5068.0,5149.0,5250.0
5304.0,5350.0,5223.0,5290.0,5341.0
4800.5,4913.0,4000.0,4542.0,5148.0
5148.0,5148.0,4807.0,4897.0,5008.0
5129.0,5202.0,5001.0,5108.0,5304.0
5256.0,5701.0,5247.5,5389.0,5586.0
5867.0,6307.5,5789.5,6178.0,6139.5
9597.0,9999.0,9000.0,9600.0,9600.0
10208.0,10249.0,10086.5,10135.0,10161.0
10161.0,10161.0,9384.0,9603.0,9568.5
9690.0,9725.0,9660.0,9677.0,9703.5
9671.5,9671.5,9574.0,9614.0,9633.5
9614.0,9652.0,9612.5,9633.5,9635.0
9635.0,9674.5,9635.0,9671.0,9685.0
9768.5,9768.5,9700.0,9748.5,9799.0
9632.5,9669.5,9585.5,9669.5,9587.5
9599.0,9673.0,9382.5,9395.5,9350.0
9157.0,9200.0,9150.0,9183.0,9040.0
9040.0,9040.0,8674.0,8829.0,8793.5
8829.0,8855.5,8733.5,8793.5,8740.0
8850.0,8958.0,8850.0,8904.0,8800.5
8800.5,8899.0,8800.0,8844.0,8737.5
8737.5,8779.0,8551.5,8574.0,8689.0
8689.0,8730.5,8498.5,8587.5,8777.5
8756.5,8756.5,8603.0,8603.0,8603.0
8556.5,8657.0,8527.5,8657.0,8549.0
8657.0,8657.0,8549.0,8549.0,8635.5
8547.0,8573.0,8499.5,8573.0,8614.0
8573.0,8625.5,8573.0,8614.0,8661.5
8674.0,8851.5,8674.0,8851.5,8854.0
8851.5,8854.0,8851.5,8854.0,8946.0
8866.5,8869.5,8750.0,8750.0,8678.5
8678.5,8678.5,8678.5,8678.5,8799.0
8799.0,8829.0,8787.5,8829.0,8703.0
8829.0,8829.0,8703.0,8703.0,8750.0
8750.0,8750.0,8750.0,8750.0,8750.0
8990.5,8990.5,0.5,8990.5,8990.5
7902.5,9148.5,7800.0,9148.5,7843.5
7843.5,7903.5,7842.0,7903.5,7903.5
7767.0,7839.0,7614.5,7826.0,7929.0
7826.0,7978.0,7808.0,7929.0,7666.0
5470.5,5470.5,5151.0,5422.0,5290.0
5353.0,5389.0,5047.0,5156.0,5149.0
5242.0,5268.0,4726.0,4800.5,4542.0
5867.0,6307.5,5789.5,6178.0,6139.5
6178.0,6367.5,6112.5,6139.5,6123.0
9612.5,9652.5,9590.0,9597.0,9597.0
9597.0,9999.0,9000.0,9600.0,9600.0
9690.0,9725.0,9660.0,9677.0,9703.5
9671.0,9693.5,9671.0,9685.0,9746.0
9685.0,9746.0,9685.0,9746.0,9891.5
9748.5,9799.0,9719.5,9799.0,9700.5
9700.5,9728.0,9507.0,9632.5,9669.5
9632.5,9669.5,9585.5,9669.5,9587.5
9587.5,9613.0,9508.5,9534.5,9599.0
9183.0,9281.0,9006.5,9040.0,8829.0
8793.5,8793.5,8547.5,8740.0,8820.5
8850.0,8958.0,8850.0,8904.0,8800.5
8756.5,8756.5,8756.5,8756.5,8603.0
8603.0,8603.0,8603.0,8603.0,8556.5
8657.0,8657.0,8549.0,8549.0,8635.5
8661.5,8674.0,8650.5,8674.0,8851.5
