"open","high","low","close","shifted"
10135.0,10265.5,10122.5,10161.0,9603.0
9690.0,9725.0,9660.0,9677.0,9703.5
9633.5,9659.5,9626.0,9635.0,9671.0
9768.5,9768.5,9700.0,9748.5,9799.0
9799.0,9835.5,9700.0,9700.5,9632.5
9395.5,9433.5,9321.0,9350.0,9349.0
9183.0,9281.0,9006.5,9040.0,8829.0
8829.0,8855.5,8733.5,8793.5,8740.0
8820.5,8850.0,8750.5,8792.5,8850.0
8737.5,8779.0,8551.5,8574.0,8689.0
8574.0,8706.5,8466.0,8689.0,8587.5
8689.0,8730.5,8498.5,8587.5,8777.5
8556.5,8657.0,8527.5,8657.0,8549.0
8657.0,8657.0,8549.0,8549.0,8635.5
8549.0,8635.5,8549.0,8635.5,8601.5
8946.0,8946.0,8809.5,8889.0,8772.5
8866.5,8869.5,8750.0,8750.0,8678.5
8750.0,8750.0,8672.5,8678.5,8678.5
8678.5,8806.5,8678.5,8799.0,8829.0
9061.0,9073.5,8981.0,8981.0,20001.0
8981.0,20001.0,8091.5,20001.0,100.0
20001.0,20001.0,100.0,100.0,100.0
100.0,8990.5,100.0,8990.5,8990.5
8700.0,8700.0,8700.0,8700.0,8700.0
7802.0,7802.0,7802.0,7802.0,7802.0
7359.0,7838.5,0.5,7743.0,7881.0
7743.0,7881.0,7743.0,7881.0,7892.5
7882.0,8368.5,7850.0,7902.5,9148.5
7862.0,7926.0,7763.5,7830.0,7767.0
7830.0,7895.0,7755.0,7767.0,7826.0
7388.5,7460.0,5519.0,6019.0,6117.5
6117.5,6203.5,5948.5,6003.0,4781.0
5186.0,5462.0,4800.0,5356.0,5549.5
5149.0,5305.0,5149.0,5250.0,5397.0
5397.0,5553.5,5226.0,5304.0,5290.0
5341.0,5341.0,5159.0,5242.0,4800.5
4800.5,4913.0,4000.0,4542.0,5148.0
5008.0,5359.0,4896.0,5285.0,5325.5
5345.0,5485.0,5292.0,5299.0,5363.0
5256.0,5701.0,5247.5,5389.0,5586.0
6139.5,6215.5,4621.5,6123.0,6289.5
6249.0,6309.5,6030.0,6149.5,6051.0
9000.0,9800.0,9000.0,9612.5,9597.0
9600.0,9600.0,9600.0,9600.0,9600.0
10135.0,10265.5,10122.5,10161.0,9603.0
9579.5,9604.5,9539.0,9584.5,9535.5
9614.0,9652.0,9612.5,9633.5,9635.0
9835.0,9910.5,9835.0,9910.5,9899.5
9910.5,9910.5,9868.5,9899.5,9963.0
9799.0,9835.5,9700.0,9700.5,9632.5
9599.0,9673.0,9382.5,9395.5,9350.0
8820.5,8850.0,8750.5,8792.5,8850.0
8904.0,8914.5,8689.5,8800.5,8844.0
8657.0,8657.0,8549.0,8549.0,8635.5
8573.0,8625.5,8573.0,8614.0,8661.5
8674.0,8851.5,8674.0,8851.5,8854.0
8866.5,8869.5,8750.0,8750.0,8678.5
8678.5,8678.5,8678.5,8678.5,8799.0
8750.0,8750.0,8750.0,8750.0,8867.5
8750.0,8923.5,8750.0,8867.5,8911.0
9115.0,9115.0,9115.0,9115.0,9061.0
100.0,100.0,100.0,100.0,100.0
8990.5,8990.5,8990.5,8990.5,8700.0
8990.5,8990.5,8700.0,8700.0,8700.0
7359.0,7838.5,0.5,7743.0,7881.0
7830.0,7895.0,7755.0,7767.0,7826.0
5372.0,5906.5,4907.5,5186.0,5356.0
5470.5,5470.5,5151.0,5422.0,5290.0
5290.0,5456.0,5231.5,5353.0,5156.0
5242.0,5268.0,4726.0,4800.5,4542.0
5148.0,5148.0,4807.0,4897.0,5008.0
4897.0,5023.5,4810.0,5008.0,5285.0
5285.0,5380.0,5187.5,5325.5,5236.0
5129.0,5202.0,5001.0,5108.0,5304.0
5586.0,5890.0,5582.0,5867.0,6178.0
6289.5,6901.0,6264.5,6656.0,6605.5
9568.5,9615.0,9550.0,9604.0,9579.5
9579.5,9604.5,9539.0,9584.5,9535.5
9614.0,9652.0,9612.5,9633.5,9635.0
9671.0,9693.5,9671.0,9685.0,9746.0
9669.5,9674.0,9578.0,9587.5,9534.5
9350.0,9408.0,9313.5,9349.0,9164.0
9349.0,9378.0,9135.0,9164.0,9157.0
8740.0,8820.5,8700.0,8820.5,8792.5
8850.0,8958.0,8850.0,8904.0,8800.5
8904.0,8914.5,8689.5,8800.5,8844.0
8800.5,8899.0,8800.0,8844.0,8737.5
8889.0,8889.0,8772.5,8772.5,8866.5
8799.0,8829.0,8787.5,8829.0,8703.0
8750.0,8750.0,8750.0,8750.0,8750.0
8750.0,8923.5,8750.0,8867.5,8911.0
9123.0,9137.5,9115.0,9115.0,9115.0
